X,Z,Success?,Stair_Floor1,Stair_Floor2,Water_height,StairObstacle1,StairObstacle2,StairObstacle3
3,6.5,S,1,1,-3.8,4,6,3
3.5,6.5,S,1,1,-3.8,8,2,7
4,6.5,S,1,1,-3.8,3,4,2
4.5,6.5,S,4,4,-2.7,7,2,1
5,6.5,S,1,2,-3.6,7,5,2
5.5,6.5,S,1,2,-3.6,7,5,4
6,6.5,F,1,2,-7.8,6,3,5
6.5,6.5,F,1,2,-5.9,3,2,1
7,6.5,S,1,1,-3.9,6,8,3
7.5,6.5,S,1,2,-3.6,7,8,2
8,6.5,S,4,4,1.8,1,5,3
8.5,6.5,S,1,2,-3.6,8,5,7
9,6.5,S,1,2,-3.3,3,5,4
9.5,6.5,F,1,1,-8.9,2,6,3
10,6.5,F,3,1,0.1,7,1,2
10.5,6.5,F,3,1,-8.1,8,6,1
11,6.5,F,2,1,-7.9,7,3,1
11.5,6.5,N,2,1,-10,4,7,8
12,6.5,N,2,1,-10,1,6,3
12.5,6.5,N,2,1,-10,8,3,4
13,6.5,N,2,1,-10,6,2,7
13.5,6.5,N,2,1,-10,4,6,7
14,6.5,N,2,1,-10,6,8,5
14.5,6.5,N,2,1,-10,5,1,7
15,6.5,N,2,1,-10,5,8,6
15.5,6.5,N,2,1,-10,4,2,1
16,6.5,N,2,1,-10,7,8,6
16.5,6.5,N,2,1,-10,1,4,8
17,6.5,N,2,1,-10,1,5,2
17.5,6.5,N,2,1,-10,2,4,8
18,6.5,N,2,1,-10,4,7,5
18.5,6.5,N,2,1,-10,5,3,8
19,6.5,N,2,1,-10,4,7,8
19.5,6.5,N,2,1,-10,8,4,3
-19.5,7,N,2,1,-10,5,4,1
-19,7,N,2,1,-10,2,4,5
-18.5,7,N,2,1,-10,1,6,8
-18,7,N,2,1,-10,8,1,2
-17.5,7,N,2,1,-10,7,1,5
-17,7,N,2,1,-10,6,3,4
-16.5,7,N,2,1,-10,5,7,1
-16,7,N,2,1,-10,3,5,4
-15.5,7,N,2,1,-10,7,5,4
-15,7,N,2,1,-10,7,5,2
-14.5,7,N,2,1,-10,1,7,8
-14,7,N,2,1,-10,8,2,7
-13.5,7,N,2,1,-10,6,5,3
-13,7,N,2,1,-10,4,8,6
-12.5,7,N,2,1,-10,3,2,7
-12,7,N,2,1,-10,8,4,3
-11.5,7,N,2,1,-10,6,1,2
-11,7,S,2,2,-2.4,5,1,8
-10.5,7,S,1,1,-2.7,6,8,3
-10,7,S,2,1,1.3,6,3,7
-9.5,7,F,2,1,-9.5,8,1,5
-9,7,S,1,2,-3.2,8,4,2
-8.5,7,S,2,2,-4,8,4,5
-8,7,S,1,1,-2.4,8,7,3
-7.5,7,S,1,1,1.2,2,4,3
-7,7,S,1,1,-3.5,2,6,8
-6.5,7,F,2,1,-8.7,8,6,4
-6,7,N,2,1,-10,2,4,1
-5.5,7,S,2,2,-2.9,4,8,3
-5,7,S,1,1,-3.5,8,4,2
-4.5,7,S,1,2,-2.6,5,2,3
-4,7,S,1,3,-2,5,6,2
-3.5,7,S,2,1,-3.3,3,6,8
-3,7,S,1,1,-3.1,2,7,3
-2.5,7,S,4,3,5.1,2,8,1
-2,7,S,1,1,-2.5,8,6,7
-1.5,7,S,1,1,-3.1,7,4,6
-1,7,S,1,2,-3.4,4,3,8
-0.5,7,S,2,1,-2.2,6,1,7
0,7,F,1,1,-6.9,5,6,7
0.5,7,N,1,1,-10,3,6,5
1,7,N,1,1,-10,1,7,6
1.5,7,N,1,1,-10,5,6,1
2,7,S,2,2,-3.7,3,8,1
2.5,7,S,3,3,-2.3,5,1,2
3,7,S,2,2,-3.4,1,4,7
3.5,7,S,1,1,-3.6,2,4,7
4,7,S,1,1,-3.7,7,2,4
4.5,7,S,1,2,-2.9,7,3,5
5,7,S,1,2,-3.4,4,2,5
5.5,7,S,1,2,-3.6,2,5,4
6,7,S,2,2,-3.3,5,1,8
6.5,7,S,2,2,4.6,1,4,8
7,7,S,1,1,-3.9,8,3,2
7.5,7,S,1,1,-4,7,6,4
8,7,S,1,1,-3.3,4,2,7
8.5,7,S,1,1,-4,6,4,2
9,7,S,2,4,13.4,1,6,5
9.5,7,S,1,1,-4,6,2,4
10,7,F,1,1,-7.6,1,8,2
10.5,7,S,1,2,-4,7,4,5
11.5,7,N,1,2,-10,3,6,2
12,7,N,1,2,-10,8,6,1
12.5,7,N,1,2,-10,4,8,3
13,7,N,1,2,-10,4,1,7
13.5,7,N,1,2,-10,1,8,4
14,7,N,1,2,-10,5,4,7
14.5,7,N,1,2,-10,3,5,7
15,7,N,1,2,-10,7,2,8
15.5,7,N,1,2,-10,7,5,3
16,7,N,1,2,-10,8,1,6
16.5,7,N,1,2,-10,1,3,7
17,7,N,1,2,-10,7,4,5
17.5,7,N,1,2,-10,7,3,4
18,7,N,1,2,-10,4,7,2
18.5,7,N,1,2,-10,7,6,1
19,7,N,1,2,-10,3,8,2
19.5,7,N,1,2,-10,8,2,6
-19.5,7.5,N,1,2,-10,4,5,6
-19,7.5,N,1,2,-10,7,1,8
-18.5,7.5,N,1,2,-10,5,8,1
-18,7.5,N,1,2,-10,8,5,6
-17.5,7.5,N,1,2,-10,6,7,8
-17,7.5,N,1,2,-10,5,1,2
-16.5,7.5,N,1,2,-10,4,5,3
-16,7.5,N,1,2,-10,4,5,2
-15.5,7.5,N,1,2,-10,3,2,6
-15,7.5,N,1,2,-10,2,7,3
-14.5,7.5,N,1,2,-10,6,4,2
-14,7.5,N,1,2,-10,6,2,3
-13.5,7.5,N,1,2,-10,2,8,4
-13,7.5,N,1,2,-10,8,6,3
-12.5,7.5,N,1,2,-10,3,7,6
-12,7.5,N,1,2,-10,5,8,6
-11.5,7.5,N,1,2,-10,4,5,3
-11,7.5,S,1,1,-2.8,7,3,4
-10.5,7.5,N,1,1,-10,6,7,2
-10,7.5,F,4,1,-5.4,2,3,1
-9.5,7.5,S,2,4,11.5,4,6,5
-9,7.5,S,2,3,11.4,6,4,5
-8.5,7.5,F,2,3,1.5,6,7,8
-8,7.5,F,3,4,-2.3,2,1,4
-7.5,7.5,S,2,2,-4,8,4,3
-7,7.5,S,2,2,-3.8,3,5,1
-6.5,7.5,F,2,2,1.5,2,1,3
-5.5,7.5,F,2,2,-3.4,5,6,4
-5,7.5,N,2,2,-10,5,2,1
-4.5,7.5,S,1,2,-1.4,3,7,5
-4,7.5,F,2,2,8.5,4,5,6
-3.5,7.5,F,2,2,-8.3,6,4,3
-3,7.5,N,2,2,-10,7,2,3
-2.5,7.5,S,1,2,0.4,4,2,5
-2,7.5,F,1,2,-5.6,6,5,8
-1.5,7.5,N,1,2,-10,5,1,6
-1,7.5,S,2,2,-3.8,5,4,1
-0.5,7.5,S,1,1,-2.9,4,3,7
0,7.5,S,1,1,-3.4,3,6,7
0.5,7.5,S,1,1,-3.7,3,8,4
1,7.5,F,1,1,1.5,3,1,7
1.5,7.5,S,1,1,-2.3,2,8,6
2,7.5,S,1,1,-3.7,8,4,7
2.5,7.5,S,1,2,-3.1,5,7,4
3,7.5,S,2,1,-2.9,1,6,4
3.5,7.5,S,3,3,-3,2,1,8
4,7.5,S,1,2,-3.5,8,7,4
4.5,7.5,S,1,2,-3.6,2,5,3
5,7.5,S,2,2,-0.6,4,5,1
5.5,7.5,S,2,2,-3.2,3,1,5
6,7.5,S,2,2,-2.5,5,3,1
6.5,7.5,F,1,2,-8.3,2,5,3
7,7.5,S,1,1,-3.9,2,7,4
7.5,7.5,S,2,2,-3.4,8,7,1
8,7.5,S,2,2,6.6,3,5,1
8.5,7.5,S,2,2,-1.8,4,1,3
9,7.5,S,1,2,-3.4,7,5,8
9.5,7.5,S,1,1,-4.1,3,6,7
10,7.5,S,2,2,-1.4,4,8,1
10.5,7.5,S,1,1,-4.1,6,2,4
11,7.5,S,1,1,-4.1,3,4,2
11.5,7.5,N,1,1,-10,2,6,1
12,7.5,N,1,1,-10,1,8,7
12.5,7.5,N,1,1,-10,7,4,3
13,7.5,N,1,1,-10,7,3,1
13.5,7.5,N,1,1,-10,5,2,8
14,7.5,N,1,1,-10,2,5,6
14.5,7.5,N,1,1,-10,5,1,4
15,7.5,N,1,1,-10,8,7,1
15.5,7.5,N,1,1,-10,4,6,7
16,7.5,N,1,1,-10,5,8,6
16.5,7.5,N,1,1,-10,7,2,1
17,7.5,N,1,1,-10,5,2,8
17.5,7.5,N,1,1,-10,7,8,2
18,7.5,N,1,1,-10,5,1,6
18.5,7.5,N,1,1,-10,1,7,8
19,7.5,N,1,1,-10,2,6,5
19.5,7.5,N,1,1,-10,7,6,4
-19.5,8,N,1,1,-10,5,7,3
-19,8,N,1,1,-10,8,3,2
-18.5,8,N,1,1,-10,8,7,4
-18,8,N,1,1,-10,4,7,2
-17.5,8,N,1,1,-10,2,8,3
-17,8,N,1,1,-10,3,4,8
-16.5,8,N,1,1,-10,6,2,3
-16,8,N,1,1,-10,6,5,2
-15.5,8,N,1,1,-10,6,3,2
-15,8,N,1,1,-10,4,6,7
-14.5,8,N,1,1,-10,2,1,6
-14,8,N,1,1,-10,8,1,6
-13.5,8,N,1,1,-10,5,8,6
-13,8,N,1,1,-10,4,7,5
-12.5,8,N,1,1,-10,3,1,2
-12,8,N,1,1,-10,2,8,6
-11.5,8,N,1,1,-10,5,8,4
-11,8,N,1,1,-10,4,3,6
-10.5,8,S,2,2,-1.5,1,5,4
-10,8,F,1,1,-7.4,3,7,2
-9.5,8,F,3,1,-7.6,2,1,7
-9,8,N,3,1,-10,7,6,1
-8.5,8,S,2,2,-4,5,8,3
-8,8,S,2,3,-1.1,1,6,5
-7.5,8,S,2,2,-4,5,8,4
-7,8,S,1,2,-2.9,2,5,7
-6.5,8,S,1,1,-2.3,3,6,2
-6,8,S,2,2,-3.9,4,7,1
-5.5,8,S,2,3,1.4,6,3,5
-5,8,S,2,1,-3.4,1,3,6
-4.5,8,S,2,2,-3.7,4,7,3
-4,8,S,2,1,-3,6,3,1
-3.5,8,F,2,1,-8.2,5,4,1
-3,8,S,1,2,-3,5,8,2
-2.5,8,S,1,1,-2.7,8,7,6
-2,8,S,2,2,-3.8,1,4,3
-1.5,8,S,2,2,-2.7,1,5,4
-1,8,S,2,3,5.6,6,5,1
-0.5,8,S,2,2,-3.2,1,7,3
0,8,S,1,1,-3.2,4,6,7
0.5,8,S,1,1,-3.5,3,2,4
1,8,S,4,4,-2.5,2,3,1
1.5,8,S,1,1,-3.5,4,8,6
2,8,S,1,1,-3.6,8,4,3
2.5,8,F,1,1,-7.2,2,6,3
3,8,F,3,1,-8.5,1,4,2
3.5,8,F,3,1,-8.5,1,5,2
4,8,S,1,1,-3.8,4,6,7
4.5,8,S,2,1,-3.2,1,6,3
5,8,S,2,1,-0.4,6,1,7
5.5,8,S,2,2,-3.4,5,1,7
6,8,S,3,4,0,7,2,1
6.5,8,S,1,2,-3.6,4,7,5
7,8,F,3,4,-1,1,4,2
7.5,8,S,3,4,0.5,1,5,4
8,8,S,4,4,6,3,1,2
8.5,8,S,1,1,-4,8,2,6
9,8,S,2,2,-3.6,1,7,5
9.5,8,F,2,2,-8.8,8,7,1
10,8,S,1,2,-3.9,5,4,3
10.5,8,N,1,2,-10,4,1,5
11,8,N,1,2,-10,1,7,6
11.5,8,N,1,2,-10,6,8,7
12,8,N,1,2,-10,6,3,8
12.5,8,N,1,2,-10,3,4,6
13,8,N,1,2,-10,4,7,6
13.5,8,N,1,2,-10,4,7,2
14,8,N,1,2,-10,4,6,3
14.5,8,N,1,2,-10,1,6,4
15,8,N,1,2,-10,7,3,4
15.5,8,N,1,2,-10,1,5,4
16,8,N,1,2,-10,4,2,1
16.5,8,N,1,2,-10,3,8,2
17,8,N,1,2,-10,1,8,6
17.5,8,N,1,2,-10,2,5,8
18,8,N,1,2,-10,2,7,3
18.5,8,N,1,2,-10,1,8,5
19,8,N,1,2,-10,2,3,5
19.5,8,N,1,2,-10,1,6,3
-19.5,8.5,N,1,2,-10,6,1,3
-19,8.5,N,1,2,-10,2,4,5
-18.5,8.5,N,1,2,-10,1,2,6
-18,8.5,N,1,2,-10,4,8,1
-17.5,8.5,N,1,2,-10,8,6,5
-17,8.5,N,1,2,-10,4,6,8
-16.5,8.5,N,1,2,-10,4,2,3
-16,8.5,N,1,2,-10,1,2,3
-15.5,8.5,N,1,2,-10,4,3,2
-15,8.5,N,1,2,-10,1,2,8
-14.5,8.5,N,1,2,-10,7,5,1
-14,8.5,N,1,2,-10,8,2,3
-13.5,8.5,N,1,2,-10,6,5,3
-13,8.5,N,1,2,-10,8,6,1
-12.5,8.5,N,1,2,-10,3,6,1
-12,8.5,N,1,2,-10,2,1,6
-11.5,8.5,N,1,2,-10,3,5,1
-11,8.5,N,1,2,-10,1,2,6
-10.5,8.5,N,1,2,-10,2,1,6
-10,8.5,F,1,2,-7.2,5,2,6
-9.5,8.5,S,2,2,-4.1,4,7,5
-9,8.5,S,2,1,-0.5,6,3,8
-8.5,8.5,S,2,1,-2.9,6,7,8
-8,8.5,F,1,1,-7.8,2,8,7
-7.5,8.5,F,2,1,4.6,7,6,3
-7,8.5,N,2,1,-10,7,2,5
-6.5,8.5,S,1,1,0,2,8,4
-6,8.5,S,2,2,1.8,8,1,3
-5.5,8.5,S,2,2,-3.9,1,5,3
-5,8.5,S,2,2,-3.8,1,3,5
-4.5,8.5,S,2,4,-0.8,5,6,7
-4,8.5,S,2,3,1,3,5,6
-3.5,8.5,S,1,1,-2.9,7,3,4
-3,8.5,F,2,1,-7.3,1,6,8
-2.5,8.5,S,1,1,-3.5,2,4,6
-2,8.5,S,1,1,-3.2,4,7,3
-1.5,8.5,S,1,2,-3.3,8,7,5
-1,8.5,S,1,2,-3.4,2,4,3
-0.5,8.5,S,2,2,-3.6,1,7,8
0,8.5,S,4,4,-0.2,1,5,2
0.5,8.5,S,1,1,-3.6,6,2,8
1,8.5,S,1,2,-3.4,4,5,2
1.5,8.5,S,2,2,-3.1,7,1,5
2,8.5,S,4,3,-2.3,1,2,8
2.5,8.5,S,1,1,-3.8,4,7,6
3,8.5,F,1,1,1.5,6,1,3
3.5,8.5,S,1,4,5.5,7,6,5
4,8.5,S,2,3,1.1,1,6,5
4.5,8.5,S,1,2,-3.3,4,5,7
5,8.5,S,1,1,-3.6,2,3,6
5.5,8.5,S,1,1,-3.2,8,2,3
6,8.5,F,1,1,-8.6,8,5,6
6.5,8.5,S,1,1,-3.8,6,3,8
7,8.5,S,1,1,-3.8,7,4,2
7.5,8.5,S,1,1,-3.9,7,3,8
8,8.5,S,2,2,-2.2,1,5,8
8.5,8.5,S,1,2,-3.4,7,5,2
9,8.5,S,1,1,-3.8,2,8,3
9.5,8.5,S,2,2,-2.2,1,4,3
10,8.5,F,1,2,-7.6,4,5,6
10.5,8.5,N,1,2,-10,4,1,2
11,8.5,N,1,2,-10,2,4,1
11.5,8.5,N,1,2,-10,4,8,6
12,8.5,N,1,2,-10,5,8,3
12.5,8.5,N,1,2,-10,7,8,2
13,8.5,N,1,2,-10,8,1,2
13.5,8.5,N,1,2,-10,3,8,6
14,8.5,N,1,2,-10,5,8,4
14.5,8.5,N,1,2,-10,8,4,1
15,8.5,N,1,2,-10,8,2,1
15.5,8.5,N,1,2,-10,4,7,5
16,8.5,N,1,2,-10,5,1,6
16.5,8.5,N,1,2,-10,4,1,3
17,8.5,N,1,2,-10,8,4,6
17.5,8.5,N,1,2,-10,4,7,2
18,8.5,N,1,2,-10,1,6,5
18.5,8.5,N,1,2,-10,7,4,6
19,8.5,N,1,2,-10,5,2,8
19.5,8.5,N,1,2,-10,8,3,2
-19.5,9,N,1,2,-10,4,3,1
-19,9,N,1,2,-10,1,8,3
-18.5,9,N,1,2,-10,4,2,6
-18,9,N,1,2,-10,7,2,1
-17.5,9,N,1,2,-10,7,2,5
-17,9,N,1,2,-10,6,1,7
-16.5,9,N,1,2,-10,7,2,1
-16,9,N,1,2,-10,7,6,8
-15.5,9,N,1,2,-10,8,5,3
-15,9,N,1,2,-10,6,2,3
-14.5,9,N,1,2,-10,8,7,3
-14,9,N,1,2,-10,8,1,5
-13.5,9,N,1,2,-10,2,8,3
-13,9,N,1,2,-10,2,4,3
-12.5,9,N,1,2,-10,6,4,8
-12,9,N,1,2,-10,3,7,2
-11.5,9,N,1,2,-10,7,1,4
-11,9,F,1,2,-9.1,6,3,5
-10.5,9,S,2,2,-4,8,7,1
-10,9,S,1,1,-3.3,2,3,7
-9.5,9,S,2,2,-4,8,5,4
-9,9,S,1,1,-3.3,6,3,2
-8,9,S,1,2,-2.6,3,5,2
-7.5,9,S,2,1,-3.4,3,4,6
-7,9,S,2,1,-3.4,6,7,1
-6.5,9,S,1,1,-3.2,7,2,6
-6,9,S,2,3,1.9,6,5,4
-5.5,9,S,2,1,-3.4,4,7,6
-5,9,S,2,2,-3.9,3,7,5
-4.5,9,S,2,2,-3.3,4,8,3
-4,9,S,2,1,-2.1,6,8,1
-3.5,9,F,1,1,-7.6,3,8,7
-3,9,F,3,1,-5.3,2,4,1
-2.5,9,S,1,1,-3.5,2,4,8
-2,9,F,1,1,-7,8,5,4
-1.5,9,N,1,1,-10,3,5,6
-1,9,F,1,1,-7,6,5,2
-0.5,9,S,1,1,-3.7,4,2,3
0,9,S,4,4,-2.3,1,2,3
0.5,9,F,1,4,-6.2,2,5,6
1,9,N,1,4,-10,7,4,3
1.5,9,N,1,4,-10,5,3,2
2,9,S,1,1,-3.8,8,4,3
2.5,9,F,4,1,-7.2,1,6,2
3,9,N,4,1,-10,2,5,3
3.5,9,S,1,2,-3.5,5,4,2
4,9,S,2,2,-3.6,1,8,7
4.5,9,F,2,2,-8.1,1,6,2
5,9,N,2,2,-10,5,6,2
5.5,9,F,2,1,-6.8,6,1,7
6.5,9,S,1,2,-3.7,3,4,2
7,9,F,1,4,-1.4,7,5,6
7.5,9,F,3,3,1.7,4,2,1
8,9,S,2,1,-2.2,1,6,3
8.5,9,S,2,2,-1.1,5,4,1
9,9,S,1,1,-3.9,2,6,8
9.5,9,S,1,1,-3.7,4,6,2
10,9,F,1,1,-8.8,5,1,3
10.5,9,S,1,2,-3.4,2,5,7
11,9,S,1,1,-4.4,6,3,7
11.5,9,N,1,1,-10,8,4,6
12,9,N,1,1,-10,3,4,2
12.5,9,N,1,1,-10,1,8,7
13,9,N,1,1,-10,2,6,3
13.5,9,N,1,1,-10,7,1,4
14,9,N,1,1,-10,8,6,4
14.5,9,N,1,1,-10,2,6,8
15,9,N,1,1,-10,4,8,7
15.5,9,N,1,1,-10,6,8,1
16,9,N,1,1,-10,1,5,7
16.5,9,N,1,1,-10,1,2,7
17,9,N,1,1,-10,4,6,8
17.5,9,N,1,1,-10,2,3,1
18,9,N,1,1,-10,5,2,7
18.5,9,N,1,1,-10,1,3,6
19,9,N,1,1,-10,2,5,7
19.5,9,N,1,1,-10,3,6,2
-19.5,9.5,N,1,1,-10,1,2,4
-19,9.5,N,1,1,-10,2,1,5
-18.5,9.5,N,1,1,-10,7,3,2
-18,9.5,N,1,1,-10,3,8,6
-17.5,9.5,N,1,1,-10,4,1,7
-17,9.5,N,1,1,-10,1,8,2
-16.5,9.5,N,1,1,-10,5,1,2
-16,9.5,N,1,1,-10,5,4,6
-15.5,9.5,N,1,1,-10,4,7,5
-15,9.5,N,1,1,-10,5,4,6
-14.5,9.5,N,1,1,-10,3,8,5
-14,9.5,N,1,1,-10,6,5,4
-13.5,9.5,N,1,1,-10,6,8,1
-13,9.5,N,1,1,-10,8,6,4
-12.5,9.5,N,1,1,-10,2,1,8
-12,9.5,N,1,1,-10,3,7,4
-11.5,9.5,N,1,1,-10,8,2,7
-11,9.5,S,2,2,-3.6,1,8,3
-10.5,9.5,N,2,2,-10,3,2,4
-10,9.5,S,2,3,10.4,5,6,3
-9.5,9.5,S,2,2,-3.9,8,1,7
-9,9.5,S,2,3,2.7,5,6,3
-8.5,9.5,S,2,3,1.7,5,8,6
-8,9.5,S,3,3,0.9,4,2,1
-7.5,9.5,S,1,2,-3.2,4,5,2
-7,9.5,S,2,1,-3.6,6,1,8
-6.5,9.5,F,1,1,-8,4,5,2
-6,9.5,S,2,2,-3.8,4,1,3
-5.5,9.5,S,2,2,-3.7,4,8,7
-5,9.5,F,1,1,-8,3,2,6
-4.5,9.5,S,1,2,-2.6,2,5,4
-4,9.5,S,2,1,-1.7,8,7,6
-3.5,9.5,S,2,2,-2.6,7,4,8
-3,9.5,S,1,2,-2.9,5,2,7
-2.5,9.5,S,2,2,-3.6,4,1,3
-2,9.5,S,1,2,-3.4,2,7,3
-1.5,9.5,S,3,3,0.5,5,2,1
-1,9.5,S,1,2,-3,3,5,2
-0.5,9.5,S,1,1,-3.4,2,3,7
0,9.5,F,1,1,-5.4,1,6,2
0.5,9.5,S,1,2,-3.4,7,4,8
1,9.5,F,1,2,-8.3,5,1,6
1.5,9.5,S,2,2,-3.3,5,3,1
2,9.5,S,1,2,-3.4,4,5,2
2.5,9.5,S,1,1,-3.7,3,8,4
3,9.5,F,1,1,-8.6,2,7,8
3.5,9.5,F,2,1,-3.3,6,3,1
4,9.5,S,1,1,-3.6,4,8,7
4.5,9.5,S,1,1,-3.8,8,6,4
5,9.5,S,2,2,-3.2,5,1,7
5.5,9.5,S,1,1,-3.8,7,8,6
6,9.5,S,1,1,-3.5,2,3,8
6.5,9.5,S,1,2,-3.6,3,4,5
7,9.5,F,1,1,-3.8,2,8,6
7.5,9.5,S,1,2,-3.6,2,5,7
8,9.5,S,1,1,-3.8,2,6,3
8.5,9.5,S,1,1,-4,6,4,8
9,9.5,S,1,2,-3.7,7,2,5
9.5,9.5,S,1,2,-1.6,8,3,2
10,9.5,S,1,1,-1.8,3,4,8
10.5,9.5,N,1,1,-10,1,4,8
11,9.5,S,1,1,2.4,8,3,6
11.5,9.5,N,1,1,-10,3,1,6
12,9.5,N,1,1,-10,4,8,2
12.5,9.5,N,1,1,-10,4,6,2
13,9.5,N,1,1,-10,8,6,1
13.5,9.5,N,1,1,-10,5,2,8
14,9.5,N,1,1,-10,2,5,1
14.5,9.5,N,1,1,-10,2,7,4
15,9.5,N,1,1,-10,3,5,8
15.5,9.5,N,1,1,-10,1,3,2
16,9.5,N,1,1,-10,5,1,2
16.5,9.5,N,1,1,-10,3,4,1
17,9.5,N,1,1,-10,6,5,1
17.5,9.5,N,1,1,-10,7,2,4
18,9.5,N,1,1,-10,3,1,2
18.5,9.5,N,1,1,-10,1,3,4
19,9.5,N,1,1,-10,8,3,5
19.5,9.5,N,1,1,-10,1,8,3
-19.5,10,N,1,1,-10,8,5,4
-19,10,N,1,1,-10,4,6,7
-18.5,10,N,1,1,-10,2,1,5
-18,10,N,1,1,-10,3,6,1
-17.5,10,N,1,1,-10,8,7,2
-17,10,N,1,1,-10,2,1,7
-16.5,10,N,1,1,-10,5,3,1
-16,10,N,1,1,-10,8,2,6
-15.5,10,N,1,1,-10,2,6,8
-15,10,N,1,1,-10,5,7,1
-14.5,10,N,1,1,-10,6,1,3
-14,10,N,1,1,-10,4,5,7
-13.5,10,N,1,1,-10,1,3,2
-13,10,N,1,1,-10,4,1,2
-12.5,10,N,1,1,-10,5,7,4
-12,10,N,1,1,-10,7,2,6
-11.5,10,N,1,1,-10,7,8,1
-11,10,S,2,3,2.7,5,4,6
-10.5,10,N,2,3,-10,1,2,8
-10,10,F,2,1,-8.7,8,6,3
-9.5,10,S,2,2,-4.1,4,8,1
-9,10,S,3,3,6,6,2,1
-8.5,10,S,2,4,4.8,7,6,5
-8,10,S,1,2,-2.4,2,4,8
-7.5,10,S,1,1,-2.5,8,2,4
-7,10,S,2,2,-4,4,1,5
-6.5,10,S,2,2,-3.5,5,8,3
-6,10,S,4,4,5.2,2,1,3
-5.5,10,S,2,2,-3.8,7,3,8
-5,10,S,1,1,-2.7,7,6,2
-4.5,10,S,2,1,2.1,3,7,6
-4,10,S,1,1,-3.4,2,6,7
-3.5,10,S,2,1,-2.7,4,7,6
-3,10,S,2,1,-3.1,6,1,7
-2.5,10,S,1,1,-3.6,2,4,3
-2,10,S,2,2,-3.2,4,5,1
-1.5,10,S,2,2,-3.5,3,5,4
-1,10,S,1,1,-3.5,6,4,2
-0.5,10,S,1,1,-3.6,2,6,4
0,10,S,2,2,-3.5,7,1,8
0.5,10,S,1,1,-3.6,2,7,8
1,10,S,1,2,-3.1,2,4,8
1.5,10,F,1,2,-7.6,2,8,1
2,10,N,1,2,-10,1,7,4
2.5,10,S,2,3,0.9,6,1,5
3,10,S,1,3,-2.3,5,4,6
3.5,10,S,1,1,-3.7,7,3,2
4,10,S,2,2,-1.9,3,7,1
4.5,10,S,1,1,-3.8,6,8,7
5,10,S,1,2,-3.6,5,7,3
5.5,10,S,1,2,-3.6,7,2,8
6,10,S,1,2,-3.6,5,3,7
6.5,10,S,1,1,-3.7,2,3,7
7,10,S,1,1,-3.9,2,6,8
7.5,10,S,1,2,-3.6,5,3,7
8,10,S,1,1,-3.9,8,2,7
8.5,10,F,3,4,-1.6,4,1,7
9,10,S,1,2,-3.6,5,8,7
9.5,10,S,1,2,-1.9,5,8,2
10,10,S,1,2,-3.6,5,7,2
10.5,10,S,1,1,-3.8,8,7,3
11,10,N,1,1,-10,4,3,1
11.5,10,N,1,1,-10,5,4,7
12,10,N,1,1,-10,8,6,3
12.5,10,N,1,1,-10,4,5,2
13,10,N,1,1,-10,5,3,1
13.5,10,N,1,1,-10,7,3,1
14,10,N,1,1,-10,5,4,3
14.5,10,N,1,1,-10,7,8,2
15,10,N,1,1,-10,8,7,3
15.5,10,N,1,1,-10,8,6,3
16,10,N,1,1,-10,3,5,6
16.5,10,N,1,1,-10,7,8,3
17,10,N,1,1,-10,6,3,7
17.5,10,N,1,1,-10,1,4,2
18,10,N,1,1,-10,1,3,5
18.5,10,N,1,1,-10,1,5,3
19,10,N,1,1,-10,8,3,6
19.5,10,N,1,1,-10,3,7,4
-19.5,10.5,N,1,1,-10,1,4,8
-19,10.5,N,1,1,-10,1,4,5
-18.5,10.5,N,1,1,-10,1,2,7
-18,10.5,N,1,1,-10,4,1,3
-17.5,10.5,N,1,1,-10,1,3,4
-17,10.5,N,1,1,-10,6,8,3
-16.5,10.5,N,1,1,-10,8,6,7
-16,10.5,N,1,1,-10,1,8,4
-15.5,10.5,N,1,1,-10,6,2,3
-15,10.5,N,1,1,-10,7,4,6
-14.5,10.5,N,1,1,-10,3,2,6
-14,10.5,N,1,1,-10,3,7,1
-13.5,10.5,N,1,1,-10,7,3,6
-13,10.5,N,1,1,-10,3,4,1
-12.5,10.5,N,1,1,-10,8,2,4
-12,10.5,N,1,1,-10,4,6,8
-11.5,10.5,N,1,1,-10,4,2,1
-11,10.5,N,1,1,-10,6,7,4
-10.5,10.5,S,2,2,-3.4,5,3,8
-10,10.5,S,2,1,-3.6,8,1,6
-9.5,10.5,S,2,3,-0.3,5,6,4
-9,10.5,S,1,1,-3.2,2,8,4
-8.5,10.5,S,2,2,-3.7,3,4,5
-8,10.5,S,1,1,-3.2,6,2,4
-7.5,10.5,S,1,1,-3.4,4,6,2
-7,10.5,S,1,1,-1.6,4,2,7
-6,10.5,S,2,2,-3.8,1,5,7
-5.5,10.5,S,2,1,0.3,4,3,6
-5,10.5,S,1,2,-3,7,4,2
-4.5,10.5,F,1,1,-8.4,6,4,2
-4,10.5,S,2,2,-3.8,4,1,8
-3.5,10.5,S,1,1,-3.4,2,7,8
-3,10.5,F,2,1,-3.6,6,5,7
-2.5,10.5,F,2,1,-7.4,6,3,4
-2,10.5,S,2,2,-3.5,1,3,8
-1.5,10.5,S,2,3,1.6,5,3,6
-1,10.5,S,2,2,-3.8,5,7,4
-0.5,10.5,S,2,2,-1.8,5,4,1
0,10.5,S,2,2,-3.2,1,4,5
0.5,10.5,F,3,2,-4.7,2,1,4
